1_1	0	If	If
1_1	1	you	you
1_1	2	were	were
1_1	3	to	to
1_1	4	journey	journey
1_1	5	to	to
1_1	6	the	the
1_1	7	North	North
1_1	8	of	of
1_1	9	England,	England
1_1	9	England,	,
1_1	10	you	you
1_1	11	would	would
1_1	12	come	come
1_1	13	to	to
1_1	14	a	a
1_1	15	valley	valley
1_1	16	that	that
1_1	17	is	is
1_1	18	surrounded	surrounded
1_1	19	by	by
1_1	20	moors	moors
1_1	21	as	as
1_1	22	high	high
1_1	23	as	as
1_1	24	mountains.	mountains
1_1	24	mountains.	.
1_2	0	It	It
1_2	1	is	is
1_2	2	in	in
1_2	3	this	this
1_2	4	valley	valley
1_2	5	where	where
1_2	6	you	you
1_2	7	would	would
1_2	8	find	find
1_2	9	the	the
1_2	10	city	city
1_2	11	of	of
1_2	12	Bradford,	Bradford
1_2	12	Bradford,	,
1_2	13	where	where
1_2	14	once	once
1_2	15	a	a
1_2	16	thousand	thousand
1_2	17	spinning	spinning
1_2	18	jennies	jennies
1_2	19	that	that
1_2	20	hummed	hummed
1_2	21	and	and
1_2	22	clattered	clattered
1_2	23	spun	spun
1_2	24	wool	wool
1_2	25	into	into
1_2	26	money	money
1_2	27	for	for
1_2	28	the	the
1_2	29	long-bearded	long-bearded
1_2	30	mill	mill
1_2	31	owners.	owners
1_2	31	owners.	.
1_3	0	That	That
1_3	1	all	all
1_3	2	mill	mill
1_3	3	owners	owners
1_3	4	were	were
1_3	5	generally	generally
1_3	6	busy	busy
1_3	7	as	as
1_3	8	beavers	beavers
1_3	9	and	and
1_3	10	quite	quite
1_3	11	pleased	pleased
1_3	12	with	with
1_3	13	themselves	themselves
1_3	14	for	for
1_3	15	being	being
1_3	16	so	so
1_3	17	successful	successful
1_3	18	and	and
1_3	19	well	well
1_3	20	off	off
1_3	21	was	was
1_3	22	known	known
1_3	23	to	to
1_3	24	the	the
1_3	25	residents	residents
1_3	26	of	of
1_3	27	Bradford,	Bradford
1_3	27	Bradford,	,
1_3	28	and	and
1_3	29	if	if
1_3	30	you	you
1_3	31	were	were
1_3	32	to	to
1_3	33	go	go
1_3	34	into	into
1_3	35	the	the
1_3	36	city	city
1_3	37	to	to
1_3	38	visit	visit
1_3	39	the	the
1_3	40	stately	stately
1_3	41	City	City
1_3	42	Hall,	Hall
1_3	42	Hall,	,
1_3	43	you	you
1_3	44	would	would
1_3	45	see	see
1_3	46	there	there
1_3	47	the	the
1_3	48	Crest	Crest
1_3	49	of	of
1_3	50	the	the
1_3	51	City	City
1_3	52	of	of
1_3	53	Bradford,	Bradford
1_3	53	Bradford,	,
1_3	54	which	which
1_3	55	those	those
1_3	56	same	same
1_3	57	mill	mill
1_3	58	owners	owners
1_3	59	created	created
1_3	60	to	to
1_3	61	celebrate	celebrate
1_3	62	their	their
1_3	63	achievements.	achievements
1_3	63	achievements.	.
1_4	0	It	It
1_4	1	shows	shows
1_4	2	a	a
1_4	3	sinister	sinister
1_4	4	looking	looking
1_4	5	boar's	boar
1_4	5	boar's	's
1_4	6	head	head
1_4	7	sitting	sitting
1_4	8	on	on
1_4	9	top	top
1_4	10	of	of
1_4	11	a	a
1_4	12	well	well
1_4	13	which	which
1_4	14	seems	seems
1_4	15	puzzling	puzzling
1_4	16	at	at
1_4	17	first,	first
1_4	17	first,	,
1_4	18	but	but
1_4	19	the	the
1_4	20	reason	reason
1_4	21	for	for
1_4	22	this	this
1_4	23	symbol	symbol
1_4	24	is	is
1_4	25	a	a
1_4	26	matter	matter
1_4	27	of	of
1_4	28	legend.	legend
1_4	28	legend.	.
1_5	0	There	There
1_5	1	was	was
1_5	2	once,	once
1_5	2	once,	,
1_5	3	legend	legend
1_5	4	has	has
1_5	5	it,	it
1_5	5	it,	,
1_5	6	a	a
1_5	7	fearsome	fearsome
1_5	8	boar,	boar
1_5	8	boar,	,
1_5	9	which	which
1_5	10	lived	lived
1_5	11	in	in
1_5	12	a	a
1_5	13	wood	wood
1_5	14	located	located
1_5	15	just	just
1_5	16	outside	outside
1_5	17	the	the
1_5	18	manor	manor
1_5	19	of	of
1_5	20	Bradford.	Bradford
1_5	20	Bradford.	.
1_6	0	A	A
1_6	1	source	source
1_6	2	of	of
1_6	3	great	great
1_6	4	trouble	trouble
1_6	5	to	to
1_6	6	the	the
1_6	7	local	local
1_6	8	folk	folk
1_6	9	the	the
1_6	10	boar	boar
1_6	11	was,	was
1_6	11	was,	,
1_6	12	bringing	bringing
1_6	13	terror	terror
1_6	14	to	to
1_6	15	the	the
1_6	16	peaceful	peaceful
1_6	17	flocks	flocks
1_6	18	and	and
1_6	19	ravaging	ravaging
1_6	20	the	the
1_6	21	countryside	countryside
1_6	22	around.	around
1_6	22	around.	.
1_7	0	Even	Even
1_7	1	worse,	worse
1_7	1	worse,	,
1_7	2	however,	however
1_7	2	however,	,
1_7	3	the	the
1_7	4	boar	boar
1_7	5	most	most
1_7	6	liked	liked
1_7	7	to	to
1_7	8	go	go
1_7	9	to	to
1_7	10	the	the
1_7	11	well	well
1_7	12	that	that
1_7	13	was	was
1_7	14	in	in
1_7	15	the	the
1_7	16	wood	wood
1_7	17	and	and
1_7	18	drink	drink
1_7	19	its	its
1_7	20	fresh	fresh
1_7	21	water,	water
1_7	21	water,	,
1_7	22	so	so
1_7	23	that	that
1_7	24	the	the
1_7	25	people	people
1_7	26	of	of
1_7	27	Bradford	Bradford
1_7	28	had	had
1_7	29	second	second
1_7	30	thoughts	thoughts
1_7	31	about	about
1_7	32	visiting	visiting
1_7	33	the	the
1_7	34	well.	well
1_7	34	well.	.
1_8	0	That	That
1_8	1	the	the
1_8	2	people	people
1_8	3	of	of
1_8	4	Bradford	Bradford
1_8	5	bore	bore
1_8	6	the	the
1_8	7	brunt	brunt
1_8	8	of	of
1_8	9	the	the
1_8	10	beast's	beast
1_8	10	beast's	's
1_8	11	ferocity	ferocity
1_8	12	was	was
1_8	13	unfair	unfair
1_8	14	in	in
1_8	15	the	the
1_8	16	eyes	eyes
1_8	17	of	of
1_8	18	the	the
1_8	19	people	people
1_8	20	of	of
1_8	21	the	the
1_8	22	region.	region
1_8	22	region.	.
1_9	0	Eventually,	Eventually
1_9	0	Eventually,	,
1_9	1	the	the
1_9	2	issue	issue
1_9	3	reached	reached
1_9	4	the	the
1_9	5	ears	ears
1_9	6	of	of
1_9	7	the	the
1_9	8	kindly	kindly
1_9	9	Lord	Lord
1_9	10	of	of
1_9	11	the	the
1_9	12	Manor	Manor
1_9	13	who	who
1_9	14	the	the
1_9	15	people	people
1_9	16	had	had
1_9	17	often	often
1_9	18	asked	asked
1_9	19	for	for
1_9	20	help.	help
1_9	20	help.	.
1_10	0	The	The
1_10	1	Lord	Lord
1_10	2	saw	saw
1_10	3	the	the
1_10	4	severity	severity
1_10	5	of	of
1_10	6	the	the
1_10	7	problem	problem
1_10	8	the	the
1_10	9	people	people
1_10	10	faced	faced
1_10	11	and	and
1_10	12	suggested	suggested
1_10	13	a	a
1_10	14	contest	contest
1_10	15	could	could
1_10	16	solve	solve
1_10	17	the	the
1_10	18	problem.	problem
1_10	18	problem.	.
1_11	0	He	He
1_11	1	said	said
1_11	2	that	that
1_11	3	whoever	whoever
1_11	4	could	could
1_11	5	kill	kill
1_11	6	the	the
1_11	7	boar	boar
1_11	8	and	and
1_11	9	bring	bring
1_11	10	as	as
1_11	11	proof	proof
1_11	12	its	its
1_11	13	head	head
1_11	14	to	to
1_11	15	the	the
1_11	16	Manor	Manor
1_11	17	House	House
1_11	18	would	would
1_11	19	be	be
1_11	20	rewarded	rewarded
1_11	21	with	with
1_11	22	land	land
1_11	23	and	and
1_11	24	fame.	fame
1_11	24	fame.	.
1_12	0	It	It
1_12	1	was	was
1_12	2	the	the
1_12	3	people	people
1_12	4	of	of
1_12	5	Bradford	Bradford
1_12	6	and	and
1_12	7	the	the
1_12	8	people	people
1_12	9	who	who
1_12	10	knew	knew
1_12	11	them	them
1_12	12	who	who
1_12	13	rejoiced	rejoiced
1_12	14	at	at
1_12	15	this	this
1_12	16	proclamation	proclamation
1_12	17	but	but
1_12	18	one	one
1_12	19	question	question
1_12	20	remained:	remained
1_12	20	remained:	:
1_12	21	who	who
1_12	22	would	would
1_12	23	kill	kill
1_12	24	the	the
1_12	25	boar?	boar
1_12	25	boar?	?
1_13	0	By	By
1_13	1	the	the
1_13	2	handsome	handsome
1_13	3	reward	reward
1_13	4	many	many
1_13	5	felt	felt
1_13	6	tempted,	tempted
1_13	6	tempted,	,
1_13	7	but	but
1_13	8	the	the
1_13	9	thought	thought
1_13	10	of	of
1_13	11	the	the
1_13	12	boar	boar
1_13	13	with	with
1_13	14	its	its
1_13	15	deadly	deadly
1_13	16	tusks	tusks
1_13	17	and	and
1_13	18	face	face
1_13	19	like	like
1_13	20	thunder	thunder
1_13	21	soon	soon
1_13	22	put	put
1_13	23	an	an
1_13	24	end	end
1_13	25	to	to
1_13	26	their	their
1_13	27	ambitions.	ambitions
1_13	27	ambitions.	.
1_14	0	However,	However
1_14	0	However,	,
1_14	1	there	there
1_14	2	was	was
1_14	3	one	one
1_14	4	huntsman,	huntsman
1_14	4	huntsman,	,
1_14	5	who	who
1_14	6	was	was
1_14	7	still	still
1_14	8	wet	wet
1_14	9	behind	behind
1_14	10	the	the
1_14	11	ears,	ears
1_14	11	ears,	,
1_14	12	who	who
1_14	13	decided	decided
1_14	14	the	the
1_14	15	prize	prize
1_14	16	was	was
1_14	17	worth	worth
1_14	18	a	a
1_14	19	shot,	shot
1_14	19	shot,	,
1_14	20	in	in
1_14	21	spite	spite
1_14	22	of	of
1_14	23	the	the
1_14	24	boar's	boar
1_14	24	boar's	's
1_14	25	reputation.	reputation
1_14	25	reputation.	.
1_15	0	The	The
1_15	1	huntsman	huntsman
1_15	2	discovered	discovered
1_15	3	the	the
1_15	4	boar	boar
1_15	5	preferred	preferred
1_15	6	to	to
1_15	7	come	come
1_15	8	out	out
1_15	9	in	in
1_15	10	the	the
1_15	11	middle	middle
1_15	12	of	of
1_15	13	the	the
1_15	14	day.	day
1_15	14	day.	.
1_16	0	So	So
1_16	1	he	he
1_16	2	went	went
1_16	3	to	to
1_16	4	the	the
1_16	5	wood	wood
1_16	6	by	by
1_16	7	the	the
1_16	8	well	well
1_16	9	with	with
1_16	10	his	his
1_16	11	good	good
1_16	12	bow,	bow
1_16	12	bow,	,
1_16	13	to	to
1_16	14	bide	bide
1_16	15	his	his
1_16	16	time.	time
1_16	16	time.	.
1_17	0	Around	Around
1_17	1	noontime,	noontime
1_17	1	noontime,	,
1_17	2	the	the
1_17	3	boar,	boar
1_17	3	boar,	,
1_17	4	feared	feared
1_17	5	by	by
1_17	6	the	the
1_17	7	locals,	locals
1_17	7	locals,	,
1_17	8	came	came
1_17	9	out,	out
1_17	9	out,	,
1_17	10	as	as
1_17	11	slow	slow
1_17	12	as	as
1_17	13	a	a
1_17	14	snail,	snail
1_17	14	snail,	,
1_17	15	from	from
1_17	16	among	among
1_17	17	the	the
1_17	18	trees,	trees
1_17	18	trees,	,
1_17	19	just	just
1_17	20	as	as
1_17	21	the	the
1_17	22	huntsman	huntsman
1_17	23	had	had
1_17	24	predicted.	predicted
1_17	24	predicted.	.
1_18	0	The	The
1_18	1	huntsman	huntsman
1_18	2	leaped	leaped
1_18	3	from	from
1_18	4	his	his
1_18	5	hiding	hiding
1_18	6	place	place
1_18	7	and	and
1_18	8	through	through
1_18	9	the	the
1_18	10	heart	heart
1_18	11	with	with
1_18	12	his	his
1_18	13	fine	fine
1_18	14	arrows	arrows
1_18	15	shot	shot
1_18	16	the	the
1_18	17	boar.	boar
1_18	17	boar.	.
1_19	0	Now	Now
1_19	1	the	the
1_19	2	problem	problem
1_19	3	was	was
1_19	4	no	no
1_19	5	longer	longer
1_19	6	to	to
1_19	7	kill	kill
1_19	8	the	the
1_19	9	boar.	boar
1_19	9	boar.	.
1_20	0	It	It
1_20	1	was	was
1_20	2	to	to
1_20	3	find	find
1_20	4	a	a
1_20	5	way	way
1_20	6	to	to
1_20	7	carry	carry
1_20	8	the	the
1_20	9	boar	boar
1_20	10	back.	back
1_20	10	back.	.
1_21	0	The	The
1_21	1	head	head
