Text_ID,Sentence_Number,Word_In_Sentence_Number,Word_In_Paragraph_Number,Word,Sentence,Text
1,1,1,1,There,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,2,2,are,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,3,3,now,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,4,4,rumblings,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,5,5,that,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,6,6,Apple,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,7,7,might,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,8,8,soon,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,9,9,invade,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,10,10,the,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,11,11,smart,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,12,12,watch,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,13,13,"space,","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,14,14,though,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,15,15,the,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,16,16,company,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,17,17,is,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,18,18,maintaining,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,19,19,its,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,20,20,customary,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,1,21,21,silence.,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,1,22,The,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,2,23,watch,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,3,24,doesn't,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,4,25,have,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,5,26,a,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,6,27,microphone,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,7,28,or,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,8,29,"speaker,","The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,9,30,but,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,10,31,you,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,11,32,can,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,12,33,use,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,13,34,it,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,14,35,to,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,15,36,control,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,16,37,the,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
1,2,17,38,music,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song."
